"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10"
"6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP",0,217,5,1000,269167
"3xjfK9C9YNcta8MvK1US4sQ3bc6DEjoJoR3qLExGf9xE",0,144,5,1000,267331
"2ZuVhyBsUbTh27LBCQH3BkenjPp86gUZiNBKmhPsTRpT",0,155,0,900,265600
"8DHFGo3fDB8GudbNLZEyExLzXQPwvY4twybPbxwDnffx",0,215,0,1000,265150
"DepooLoEUsBurWjv2xXnb4qfVFnExRCvAma94mcRzcmc",0,37,0,1000,264841
"8yPiZWMNYMhEqTmPSRc6LsWLFC8pewYEzmgc5kRCLTrZ",10,149,0,0,264100
"2EWi8L6xp62VgTqFo3LnhoSP5sL9CWqYxvK7UA63qK9x",0,215,5,1000,258602
"Cat8oWQiFfrR3c7BcceTYcpnYCzSWfCPjMXT7mfHXvEP",10,180,7,800,257102
"FiijvR2ibXEHaFqB127CxrL3vSj19K2Kx1jf2RbK4BWS",0,212,10,2000,256313
"1KXz4xKV2viJCGpxqnQqdf2J45vQr5USdmtcJLTaHkm",0,215,0,1000,255141
"5iJDEVRi1nMLwKAWhYbEokZnvBAe15rgFaHGkggVEP9z",0,215,0,1000,253727
"A7uqmajxP3NdzbYDXiGQRGTL8d3dZ5pjS4kR9NTZcxtg",10,216,0,0,253445
"5AC692spnjbegP7ttCXJEzUe8S81sLYsqJd8Ae6Zv1xU",10,131,0,0,252580
"FVhMWs3bbayWpUqDAbWUPH813gzFzJEo8fzhLhhkGstp",0,217,0,900,251630
"62vDttWmru9mXm1cFBcHa8f7ymya46gqfUTjyZd61M66",6,15,1,10000,251412
"AjdEzodq5LpRA63AtQaiHyTLDfjTkr6csrtYWiSDPjaK",10,127,0,0,251314
"NDf9Pv6TAxTDPR6ud3djsd2Ux1WS2m2YfTw4qEmSnQH",9,216,5,500,250220
"DimavhUqvCpWjUZqSFZGLqBiUVUYQ5jZEaCHutKKVs45",10,216,0,500,246829
"FPjq7vB2V3TiseJJSPsp47UWSfT4AwvKjiU7GEro7bX9",0,125,0,1000,246632
