"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","avg_activated_stake_lamports_last_10"
9bCgsjsTxamDzD5Rd3J2GEPeaEgjfn4HPK9rA2b9SHK7,10,112,216720
26hgbPv2jNFJADn4KTw8Q96Qk1k2QuUCFbJL4ZQQnw3U,10,114,216012
3HXeTASFrE678sxqjSi88YLMi9cigqHuGE58szirmhRG,0,24,215927
3ddWQy44V4v53BJp9xxsofykLT1jQbFcx2jxASJ6tDWe,10,115,214216
8fHGL9WDzFberL6mxBTWaLXZiXUpeXaciJojBjB4okTY,10,16,213796
E2Af2E5wc2AghTmx8kspvBhBFvb8GyujEVCy34pc5XxL,10,115,212591
DNRu5MvrGCv78JWXrg52F23KKxHCVTfSp6E3wx6NmgVA,10,115,210047
72ZgeHBgSJtriLhSPawQ9R4gv84LSkJmFpL14eZSgU4T,10,114,206523
6UsWtPtKvFQamkKmsbfkQ3q4NgKnJPHnpgLWaEUbUriz,10,116,206366
A9Q3AVSao923286WdzWdoPYPddKz3D3QzGS1CKBnd8J1,8,115,204889
BronHodv1C7gSPzHD8YfbY3rH7vzcNde3HFZTZnRYhNB,10,115,204804
9VjF271LRd6NSvYs4v8xWuJAYCpqMXMm4SzLCkthgD2z,10,113,204651
GnSEXmrVayXPXUVN9hgy1HVveeyx8ssqZ6MnVPzQwUAm,10,115,204228
Atf7sQ4gywad7Wr73tZCjXWPDe2avKjTZMqR7vGsEsrU,10,115,203684
Hmk7yDTTSuThTrS18Y2GRvwUudrMa76kppgCBeUxyNiV,10,113,203103
BLfAy32qu3o7zemv9BvXZmGax5pG78jGGuUNejzKyAvc,0,114,202676
5Vy4C6PR4HcerQzRTKdsJB2f3QDNZJ5YY1MUt9e9yuwR,10,115,201619
FiXtdSZCSNjqKS4qLTKj7gJjYcuTUqvTo4qfRJBxMUUq,10,115,201053
2nonTYZt25PpwvXrjtvrR3RJPX5vWFGpcDN3f5FQTw4H,10,114,200905
DairdAtpx2VuXqUjNHNCYH79yxdJgA5hVyuo4xuPJwCc,10,115,192082
DjCKLeywRL4qTqv4YyDfrved5vCtXQLZEns9mDy4FfeN,9,114,191272
cyCFwiCP2XWnVuyfdd7x1mLTR3drNVu1RwuWhU1T54Y,10,115,190620
GcEDuB7yLpqt511pXbNnR56JkUgxFYmH8uXAwFapDdET,10,114,190311
9NXq465eD7Ad7V7LGoBkwDrtX8WUzHcvkEd6LPo78wgM,10,115,189109
GEnBrzdsgihJgtQs3TMn42ZVSsaxtQ9tMu9uXwAdj26v,10,115,184948
7aVnTQpkYQg8R1WSXcge48sxBzbp3sKiSsMQXdzCUWod,10,115,183968
FawwSFBuvsbGdyRTYXtggw3mo8aCBsRaDT8nhANKyN5h,10,115,183744
DMQjNd42ypZG5b7QV8Ms7eXy2ahdMGv7cuJYUwwadysP,10,41,182614
AqUEd6LUPS9dTVXNU1ASJY9YCkPx4s6BM4iDScfVurz2,10,114,181100
MaFivrMpyz5Poik3ddsJGyguusLdG6DEGmLAbH8G8j2,10,80,179651
FaXn4Sed4R7C1cwHWd1X4duJ3ZpdGhyUZM1ixWTZdmSc,10,114,178557
5RbkkS8XoubZHa3pyyDwpsmMPhrZc5RodhPJBEGAQvcz,10,115,177302
HztwSnWQTcmgmMc4E6FmMxYtByE9RT3zUarRNtR8fKR9,10,114,176131
HHKNrZkWhbe3KFzzk5P79GtLw9PbCqiW47S481g5Zfcd,10,116,175711
FNxK7PThDvbCQPYfyuQwLZ6UwR2ZshCRWXXKTuZeeXB2,10,37,172325
9wnWGqdipGPUrUs3y4pxhLsquKiH39arJcsF5XPj2iWv,10,116,171784
Gx32spiRoibz9nPtChSr47W9K5zrSiXBaF6fA5tEzo5p,10,116,171443
2YGfCnv4SEXLrMYHLcg8At65zYPD4PVuREpH5NCXCVxN,10,82,168561
7DJ9gTbZv7tsV7uz4K5sxraFQS6Vi8bEm6Q5S2vDxwhr,10,116,167035
HuKnDKXa7R581kj9P7axZ6BeAXi1fDqD2hvQBp9yLQcj,10,115,166712
3otKPth2zz9mg2oyLXmYa86zAUETTpZgEpA9WQeKdQYr,10,115,164672
3RvtjbGX4FgpF2w44n3aBCyAMjfSdW9UHi8QEy9PoT9Z,10,114,164520
G7ZwHTrgtZR5KqkLHiu1ZW3bcj8LCGK3uarbsmEdW1Gk,9,116,164436
48TSiPp5sCwjPVHhVm9xsc2jK9wYPLBPom6usMDUsW3V,0,114,163616
DvDCbvmUnFKVffvop92moAwq2kzauKbQ4iu1eA3hEVab,10,116,162510
CH2NmASrZ346zDu511XadHCWk56RBKV2H8ahL9TK7UoL,10,115,162473
4f6HwrV87o3MvTNWde1ex54FYEEtFrgN5HLKCevb8fEM,10,115,161485
GGZeHQY57b8zSoXhJZiDgZGfysVBxn4tkUjCeiiGF6hY,10,115,161284
Nbno1oevLPzkiz6fjP969Rtvgdzvg5jrYyhD7eSrDtV,10,115,160972
u6FhqiMBDf6jpgX8RKheZ93CKVc8GdFA1gHkQpfDZNf,10,115,160379
DEbwq1n8yEqzgmcXS9FVCXEaPXSkjfpRW7BkTcygF5oZ,10,115,159981
2PCneWgsppMDtoefhsKSLvAqKhXscEdfJ1xJkDaNTPWQ,10,113,159701
81DhHW2pxfdjHAo2kgpf7USDXo89KPtqGGMbqJm1aUSc,9,115,158884
96eFeg5ZP6HN2m4q3A9rYgzvSnxzTidAFPAmqkR33Xj1,10,63,155255
7v71emi11EtmJtRN3Py5JiSLBtR2wcm5UUsNKcLfwS52,10,116,155225
6UMpKJtVfbW4ZJhrPpDAH7H3C3PLY4K55eThdPY4HdMi,10,114,154813
